"","Year","Countries","Economic Freedom Summary Index","Rank","Size of Government","Legal System & Property Rights","Sound Money","Freedom to trade internationally","Regulation","GDP per capita","World GDP","USD"
"68",2010,"Guatemala",7.15,60,7.75,3.85,9.37,8.15,6.63,2825.52406953376,6.59567e+13,83.33632
"69",2010,"Hong Kong",9.02,1,8.88,8.18,9.31,9.37,9.38,1932.85828999689,6.59567e+13,83.33632
"70",2010,"Iceland",6.48,103,4.83,8.33,5.92,6.44,6.86,41851.7354772988,6.59567e+13,83.33632
"71",2010,"India",6.39,106,7.18,5.45,6.42,6.25,6.64,1345.77015320926,6.59567e+13,83.33632
"72",2010,"Indonesia",6.85,78,7.9,4.25,8.99,6.77,6.33,3113.48063451433,6.59567e+13,83.33632
"73",2010,"Iran",5.91,131,6.68,4.39,8.68,5.05,4.74,4502.74904825726,6.59567e+13,83.33632
"74",2010,"Ireland",7.67,16,4.92,7.79,9.48,8.8,7.34,48671.8882936068,6.59567e+13,83.33632
"75",2010,"Israel",7.32,42,6.17,6.04,8.96,8.23,7.22,30642.9406174863,6.59567e+13,83.33632
"76",2010,"Italy",7.19,57,5.23,5.95,9.66,7.83,7.26,35849.3731979401,6.59567e+13,83.33632
"77",2010,"Japan",7.59,20,5.3,7.39,9.89,7.37,7.98,44507.6763859172,6.59567e+13,83.33632
"78",2010,"Kenya",6.92,74,7.75,4.05,8.74,6.85,7.23,967.350454885973,6.59567e+13,83.33632
"79",2010,"Korea, South",7.51,26,6.85,6.38,9.58,7.6,7.12,38497.6169579293,6.59567e+13,83.33632
"80",2010,"Luxembourg",7.53,25,4.03,8.29,9.35,8.38,7.58,104965.306078267,6.59567e+13,83.33632
"81",2010,"Malaysia",6.85,78,6.13,5.72,6.52,7.49,8.38,9071.35698672103,6.59567e+13,83.33632
"82",2010,"Mexico",6.74,84,7.18,4.57,8.07,7,6.88,9016.45781179769,6.59567e+13,83.33632
"83",2010,"Morocco",6.41,105,6.5,5.46,7.07,6.79,6.21,2834.20471989688,6.59567e+13,83.33632
"84",2010,"Netherlands",7.48,28,3.36,8.1,9.56,8.56,7.81,50338.2548273725,6.59567e+13,83.33632
"85",2010,"New Zealand",8.17,4,4.91,8.69,9.65,8.67,8.92,33692.0108346543,6.59567e+13,83.33632
"86",2010,"Nigeria",6.12,122,6.8,3.8,6.59,6.39,7.03,2327.32066957391,6.59567e+13,83.33632
"87",2010,"Norway",7.47,29,4.8,8.65,9.32,7.29,7.31,87770.2668443401,6.59567e+13,83.33632
"88",2010,"Pakistan",6.17,121,8.68,3.71,6.04,5.85,6.6,1040.14226787636,6.59567e+13,83.33632
"89",2010,"Peru",7.64,17,7.53,5.1,9.27,8.63,7.67,5022.49319096369,6.59567e+13,83.33632
"90",2010,"Philippines",7.09,62,8.31,3.99,9.29,6.69,7.16,2129.49924654605,6.59567e+13,83.33632
"91",2010,"Portugal",7,68,4.48,6.69,9.75,8.08,6.01,22538.6540773482,6.59567e+13,83.33632
"92",2010,"Singapore",8.71,2,8.06,8.23,8.91,9.39,8.97,46569.6795060716,6.59567e+13,83.33632
"93",2010,"South Africa",6.75,82,5.6,5.7,8.18,6.97,7.31,7275.38211193642,6.59567e+13,83.33632
"94",2010,"Spain",7.32,42,5.4,6.76,9.67,7.87,6.92,30736.6278530812,6.59567e+13,83.33632
"95",2010,"Sweden",7.58,23,3.47,8.38,9.64,8.24,8.16,52076.2559134864,6.59567e+13,83.33632
"96",2010,"Switzerland",8.32,3,7.71,8.55,9.39,7.37,8.58,74605.7210207051,6.59567e+13,83.33632
"97",2010,"Syria",5.96,128,6.52,4.02,7.28,5.98,6.01,NA,6.59567e+13,83.33632
"98",2010,"Tanzania",6.7,87,6.8,5.42,7.71,6.66,6.93,701.604550062032,6.59567e+13,83.33632
"99",2010,"Thailand",6.65,89,7.14,5.15,7.06,6.83,7.09,5075.30217639529,6.59567e+13,83.33632
"100",2010,"Tunisia",6.49,101,6.28,5.56,6.85,6.44,7.3,4140.1517698059,6.59567e+13,83.33632
